set	category	size	url	local_path	rationale
flex-feature	flex	91651213	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001003000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001003000.flex	Moderate-size public files for broader format feature coverage.
flex-feature	flex	91651213	https://downloads.openmicroscopy.org/images/Flex/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001004000.flex	external-fixtures/data/flex/downloads.openmicroscopy.org/idr0001/X_110331_S13/Meas_01%282011-03-31_11-53-03%29/001004000.flex	Moderate-size public files for broader format feature coverage.
gatan-smoke	gatan	4811140	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/SmallMontage0000.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/SmallMontage0000.dm4	Smallest public files for fast external smoke coverage.
gatan-smoke	gatan	4811349	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/SmallMontage0001.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/SmallMontage0001.dm4	Smallest public files for fast external smoke coverage.
gatan-smoke	gatan	4811558	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/SmallMontage0002.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/SmallMontage0002.dm4	Smallest public files for fast external smoke coverage.
gatan-feature	gatan	200614673	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/191041a_ctl_M2_3VBSED_0045.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/191041a_ctl_M2_3VBSED_0045.dm4	Moderate-size public files for broader format feature coverage.
gatan-feature	gatan	200614673	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/191041a_ctl_M2_3VBSED_0046.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/191041a_ctl_M2_3VBSED_0046.dm4	Moderate-size public files for broader format feature coverage.
gatan-feature	gatan	200614673	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/191041a_ctl_M2_3VBSED_0047.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/191041a_ctl_M2_3VBSED_0047.dm4	Moderate-size public files for broader format feature coverage.
gatan-feature	gatan	200614673	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/191041a_ctl_M2_3VBSED_0048.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/191041a_ctl_M2_3VBSED_0048.dm4	Moderate-size public files for broader format feature coverage.
gatan-feature	gatan	200614673	https://downloads.openmicroscopy.org/images/Gatan/imagesc-36590/191041a_ctl_M2_3VBSED_0049.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/imagesc-36590/191041a_ctl_M2_3VBSED_0049.dm4	Moderate-size public files for broader format feature coverage.
gatan-regression-large	gatan	8657894391	https://downloads.openmicroscopy.org/images/Gatan/EMPIAR/EMPIAR-10013/BGal_000438_frames.dm4	external-fixtures/data/gatan/downloads.openmicroscopy.org/EMPIAR/EMPIAR-10013/BGal_000438_frames.dm4	Large public regression/stress files; not for routine CI.
gateway-tests-smoke	gateway-tests	30144	https://downloads.openmicroscopy.org/images/gateway_tests/tinyTest.d3d.dv	external-fixtures/data/gateway-tests/downloads.openmicroscopy.org/tinyTest.d3d.dv	Smallest public files for fast external smoke coverage.
gateway-tests-smoke	gateway-tests	36712448	https://downloads.openmicroscopy.org/images/gateway_tests/CHOBI_d3d.dv	external-fixtures/data/gateway-tests/downloads.openmicroscopy.org/CHOBI_d3d.dv	Smallest public files for fast external smoke coverage.
gateway-tests-smoke	gateway-tests	67174663	https://downloads.openmicroscopy.org/images/gateway_tests/big.tiff	external-fixtures/data/gateway-tests/downloads.openmicroscopy.org/big.tiff	Smallest public files for fast external smoke coverage.
gateway-tests-feature	gateway-tests	67174663	https://downloads.openmicroscopy.org/images/gateway_tests/big.tiff	external-fixtures/data/gateway-tests/downloads.openmicroscopy.org/big.tiff	Moderate-size public files for broader format feature coverage.
hamamatsu-ndpi-smoke	hamamatsu-ndpi	152	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3.ndpis	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3.ndpis	Smallest public files for fast external smoke coverage.
hamamatsu-ndpi-smoke	hamamatsu-ndpi	3064887	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3-TRITC%202%20%28560%29.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3-TRITC%202%20%28560%29.ndpi	Smallest public files for fast external smoke coverage.
hamamatsu-ndpi-smoke	hamamatsu-ndpi	3544235	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3-DAPI%202%20%28387%29%20.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3-DAPI%202%20%28387%29%20.ndpi	Smallest public files for fast external smoke coverage.
hamamatsu-ndpi-image-smoke	hamamatsu-ndpi	3064887	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3-TRITC%202%20%28560%29.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3-TRITC%202%20%28560%29.ndpi	Targeted readable image smoke set; excludes the tiny .ndpis sidecar.
hamamatsu-ndpi-image-smoke	hamamatsu-ndpi	3544235	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3-DAPI%202%20%28387%29%20.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3-DAPI%202%20%28387%29%20.ndpi	Targeted readable image smoke set; excludes the tiny .ndpis sidecar.
hamamatsu-ndpi-image-smoke	hamamatsu-ndpi	4484083	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/manuel/test3-FITC%202%20%28485%29.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/manuel/test3-FITC%202%20%28485%29.ndpi	Targeted readable image smoke set; excludes the tiny .ndpis sidecar.
hamamatsu-ndpi-feature	hamamatsu-ndpi	198030965	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/openslide/CMU-1/CMU-1.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/openslide/CMU-1/CMU-1.ndpi	Moderate-size public files for broader format feature coverage.
hamamatsu-ndpi-feature	hamamatsu-ndpi	283216422	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/openslide/CMU-3/CMU-3.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/openslide/CMU-3/CMU-3.ndpi	Moderate-size public files for broader format feature coverage.
